coordinates	refseqid	gene	circn	run_hal01_test1a	run_697_r_test1a	run_hal01_r_test1a	run_hal01_r_test1c	run_hal01_test1c	run_hal01_test1d	run_hal01_test1b	run_697_r_test1c	run_hal01_r_test1b	run_697_test1c	run_697_r_test1b	run_697_test1e	run_697_r_test1d	run_hal01_r_test1d	run_697_test1a	run_697_test1d	
chr10:102683731-102685776	NM_001136123	SLF2	hsa_circ_0006654	5	7	7	7	5	5	5	7	7	3	7	3	7	7	3	3
chr10:102683734-102685776	NM_001136123	SLF2	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:102697158-102703885	NM_001136123	SLF2	hsa_circ_0006409	0	5	4	4	0	0	0	5	4	0	5	0	5	4	0	0
chr10:102697158-102710510	NM_001136123	SLF2	hsa_circ_0002045	0	2	6	6	0	0	0	2	6	0	2	0	2	6	0	0
chr10:102777855-102778974	NM_001195263	PDZD7	unknown	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:103221737-103239214	NM_001256856	BTRC	hsa_circ_0019566	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:103345072-103345235	NM_001174084	POLL	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:103384501-103436193	NM_022039	FBXW4	hsa_circ_0005741	0	9	10	10	0	0	0	9	10	0	9	0	9	10	0	0
chr10:103427642-103436193	NM_022039	FBXW4	hsa_circ_0008362	7	30	31	31	7	7	7	30	31	0	30	0	30	31	0	0
chr10:103432671-103436193	NM_022039	FBXW4	hsa_circ_0000255	0	9	17	17	0	0	0	9	17	0	9	0	9	17	0	0
chr10:103552595-103567658	NM_001142434	MGEA5	hsa_circ_0019606	7	3	3	3	7	7	7	3	3	0	3	0	3	3	0	0
chr10:103552595-103570071	NM_001142434	MGEA5	hsa_circ_0019607	7	4	3	3	7	7	7	4	3	3	4	3	4	3	3	3
chr10:103557736-103567658	NM_001142434	MGEA5	hsa_circ_0019608	0	2	7	7	0	0	0	2	7	0	2	0	2	7	0	0
chr10:103558598-103567658	NM_001142434	MGEA5	hsa_circ_0019612	2	3	0	0	2	2	2	3	0	0	3	0	3	0	0	0
chr10:103649168-103699695	NM_024541	C10orf76	hsa_circ_0019627	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:103649168-103717489	NM_024541	C10orf76	hsa_circ_0007564	0	2	6	6	0	0	0	2	6	0	2	0	2	6	0	0
chr10:103699619-103717489	NM_024541	C10orf76	hsa_circ_0004117	0	7	8	8	0	0	0	7	8	3	7	3	7	8	3	3
chr10:103750307-103766390	NM_024541	C10orf76	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:103783233-103793096	NM_024541	C10orf76	hsa_circ_0002523	0	5	3	3	0	0	0	5	3	0	5	0	5	3	0	0
chr10:103868785-103871293	NM_003893	LDB1	hsa_circ_0019664	0	4	0	0	0	0	0	4	0	0	4	0	4	0	0	0
chr10:103916775-103917971	NM_004741	NOLC1	hsa_circ_0000257	0	20	14	14	0	0	0	20	14	0	20	0	20	14	0	0
chr10:104119940-104120152	NM_001199378	GBF1	hsa_circ_0003839	0	2	4	4	0	0	0	2	4	0	2	0	2	4	0	0
chr10:104122231-104123555	NM_001199378	GBF1	unknown	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:104486368-104489565	NM_178858	SFXN2	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:104491479-104493360	NM_178858	SFXN2	unknown	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:104632204-104634418	NR_037644	BORCS7-ASMT	hsa_circ_0019773	0	4	3	3	0	0	0	4	3	0	4	0	4	3	0	0
chr10:1046616-1053068	NM_012341	GTPBP4	hsa_circ_0017426	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:105108472-105108756	NM_001011663	PCGF6	hsa_circ_0019803	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:105197771-105198565	NM_014976	PDCD11	hsa_circ_0000258	0	29	24	24	0	0	0	29	24	0	29	0	29	24	0	0
chr10:105199502-105200607	NM_014976	PDCD11	hsa_circ_0003366	0	9	6	6	0	0	0	9	6	3	9	3	9	6	3	3
chr10:105767934-105778666	NM_014720	SLK	hsa_circ_0000259	6	2	0	0	6	6	6	2	0	2	2	2	2	0	2	2
chr10:1118055-1123943	NM_014023	WDR37	hsa_circ_0017437	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:1118055-1126416	NM_014023	WDR37	hsa_circ_0017438	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:1118055-1142186	NM_014023	WDR37	hsa_circ_0000205	2	2	0	0	2	2	2	2	0	0	2	0	2	0	0	0
chr10:111883774-111890244	NM_019903	ADD3	hsa_circ_0003357	2	9	14	14	2	2	2	9	14	0	9	0	9	14	0	0
chr10:11207448-11259470	NM_001025077	CELF2	unknown	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:112349362-112349749	NM_005445	SMC3	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:112356155-112358048	NM_005445	SMC3	hsa_circ_0000260	11	24	24	24	11	11	11	24	24	5	24	5	24	24	5	5
chr10:1125950-1126416	NM_014023	WDR37	hsa_circ_0004277	0	15	11	11	0	0	0	15	11	0	15	0	15	11	0	0
chr10:112700486-112712081	NM_007373	SHOC2	unknown	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr10:112711365-112724819	NM_007373	SHOC2	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:112758602-112760303	NM_007373	SHOC2	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:11291115-11312787	NM_001025077	CELF2	unknown	0	2	3	3	0	0	0	2	3	0	2	0	2	3	0	0
chr10:11291115-11330515	NM_001025077	CELF2	unknown	0	4	2	2	0	0	0	4	2	0	4	0	4	2	0	0
chr10:1130342-1142186	NM_014023	WDR37	hsa_circ_0000206	3	7	3	3	3	3	3	7	3	0	7	0	7	3	0	0
chr10:1130342-1151207	NM_014023	WDR37	hsa_circ_0007796	0	5	5	5	0	0	0	5	5	0	5	0	5	5	0	0
chr10:11312628-11330515	NM_001025077	CELF2	hsa_circ_0017680	2	2	0	0	2	2	2	2	0	0	2	0	2	0	0	0
chr10:1149538-1151207	NM_014023	WDR37	hsa_circ_0005792	0	4	6	6	0	0	0	4	6	0	4	0	4	6	0	0
chr10:1149541-1151207	NM_014023	WDR37	hsa_circ_0017465	0	3	2	2	0	0	0	3	2	0	3	0	3	2	0	0
chr10:11523768-11527910	NM_001080491	USP6NL	hsa_circ_0017683	0	6	5	5	0	0	0	6	5	0	6	0	6	5	0	0
chr10:11523768-11569566	NM_001080491	USP6NL	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:11551593-11569566	NM_001080491	USP6NL	hsa_circ_0017688	0	5	2	2	0	0	0	5	2	0	5	0	5	2	0	0
chr10:11567384-11569566	NM_001080491	USP6NL	hsa_circ_0017690	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:11639629-11643979	NM_014688	USP6NL	hsa_circ_0003978	0	6	0	0	0	0	0	6	0	0	6	0	6	0	0	0
chr10:116702403-116710908	NM_139169	TRUB1	hsa_circ_0020089	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:116710852-116734144	NM_139169	TRUB1	unknown	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:116730126-116734144	NM_139169	TRUB1	hsa_circ_0020092	0	4	5	5	0	0	0	4	5	0	4	0	4	5	0	0
chr10:116879948-116889297	NM_001276282	ATRNL1	hsa_circ_0020093	14	8	27	27	14	14	14	8	27	0	8	0	8	27	0	0
chr10:116879948-116931050	NM_001276282	ATRNL1	unknown	11	6	19	19	11	11	11	6	19	0	6	0	6	19	0	0
chr10:116975454-117045907	NM_207303	ATRNL1	unknown	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr10:11893995-11894214	NM_153256	PROSER2	unknown	0	6	5	5	0	0	0	6	5	0	6	0	6	5	0	0
chr10:119100490-119104960	NM_173791	PDZD8	hsa_circ_0009114	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:11971863-11978711	NM_015542	UPF2	hsa_circ_0017701	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:119768592-119774621	NM_014904	RAB11FIP2	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:11990367-11994248	NM_015542	UPF2	unknown	0	4	3	3	0	0	0	4	3	0	4	0	4	3	0	0
chr10:11997230-12006124	NM_015542	UPF2	hsa_circ_0017709	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr10:12009339-12056183	NM_015542	UPF2	hsa_circ_0017711	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:12021055-12056183	NM_015542	UPF2	hsa_circ_0017713	0	6	2	2	0	0	0	6	2	0	6	0	6	2	0	0
chr10:12039670-12056183	NM_015542	UPF2	hsa_circ_0000213	2	14	16	16	2	2	2	14	16	0	14	0	14	16	0	0
chr10:120460817-120489922	NM_153810	CACUL1	hsa_circ_0002028	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:120801505-120803654	NM_003750	EIF3A	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:120828957-120830597	NM_003750	EIF3A	hsa_circ_0020151	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:120832401-120833449	NM_003750	EIF3A	hsa_circ_0004350	0	2	3	3	0	0	0	2	3	0	2	0	2	3	0	0
chr10:120920426-120920593	NM_213649	SFXN4	unknown	0	2	6	6	0	0	0	2	6	0	2	0	2	6	0	0
chr10:12123470-12126750	NM_018706	DHTKD1	hsa_circ_0017724	0	3	6	6	0	0	0	3	6	0	3	0	3	6	0	0
chr10:12123470-12133683	NM_018706	DHTKD1	hsa_circ_0003074	0	10	5	5	0	0	0	10	5	0	10	0	10	5	0	0
chr10:12123470-12136270	NM_018706	DHTKD1	hsa_circ_0004630	0	7	12	12	0	0	0	7	12	0	7	0	7	12	0	0
chr10:12123470-12143180	NM_018706	DHTKD1	hsa_circ_0017728	2	5	5	5	2	2	2	5	5	0	5	0	5	5	0	0
chr10:12123470-12150014	NM_018706	DHTKD1	hsa_circ_0017730	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
