Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
ABI1	ABI-1, E3B1, SSH3BP1	ENSG00000136754	Abl interactor 1	10	26746593-26861087	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	CAB008375, HPA029973, HPA068407	Approved		Supported	Plasma membrane<br>Cell Junctions		Expressed in all	Expressed in all			cerebral cortex: 87.4	Expressed in all		
ABL1	ABL, c-ABL, JTK7, p150	ENSG00000097007	ABL proto-oncogene 1, non-receptor tyrosine kinase	9	130713946-130887675	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	CAB002686, HPA027251, HPA027280, HPA028409	Supported		Enhanced	Nucleoplasm<br>Nuclear bodies		Expressed in all	Expressed in all			parathyroid gland: 83.9	Expressed in all		
ABL2	ABLL, ARG	ENSG00000143322	ABL proto-oncogene 2, non-receptor tyrosine kinase	1	179099327-179229684	Cancer-related genes, Enzymes, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	HPA001866, CAB017106, HPA072754	Uncertain		Supported	Nucleoplasm	Renal cancer:1.78e-7 (unfavourable), Cervical cancer:3.50e-4 (unfavourable), Urothelial cancer:8.40e-4 (unfavourable)	Expressed in all	Mixed			gallbladder: 20.3	Expressed in all		
ACKR3	CMKOR1, CXCR7, GPR159, RDC1	ENSG00000144476	Atypical chemokine receptor 3	2	236567787-236582358	Cancer-related genes, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	HPA032003, HPA049718	Approved		Supported	Vesicles<br>Plasma membrane	Renal cancer:1.76e-6 (unfavourable), Stomach cancer:2.01e-4 (unfavourable), Urothelial cancer:2.93e-4 (unfavourable), Cervical cancer:4.64e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 176.7	Cell line enhanced		RT4: 248.8;SiHa: 100.8;U-2197: 297.4
ACSL3	ACS3, FACL3, PRO2194	ENSG00000123983	Acyl-CoA synthetase long-chain family member 3	2	222860934-222944639	Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA011315, HPA071021	Uncertain		Approved	Nucleoli<br>Lipid droplets	Liver cancer:2.75e-4 (unfavourable), Lung cancer:8.78e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 682.1	Expressed in all		
ACSL6	ACS2, FACL6, KIAA0837, LACS2, LACS5	ENSG00000164398	Acyl-CoA synthetase long-chain family member 6	5	131949973-132012243	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA040470	Enhanced					Group enriched	Group enriched	6	bone marrow: 18.0;cerebral cortex: 61.9;parathyroid gland: 22.5;seminal vesicle: 29.0;testis: 51.4	adrenal gland: 6.4	Group enriched	6	SCLC-21H: 13.0;U-937: 5.2
ACVR1	ACVR1A, ACVRLK2, ALK2, SKR1	ENSG00000115170	Activin A receptor type 1	2	157736444-157875862	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007505, HPA046514	Approved		Approved	Nucleoli<br>Cytosol	Urothelial cancer:5.17e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 74.2	Mixed		
ACVR2A	ACTRII, ACVR2	ENSG00000121989	Activin A receptor type 2A	2	147844517-147930826	Cancer-related genes, Enzymes, Predicted membrane proteins	Evidence at protein level	HPA046997	Approved		Approved	Cytosol	Renal cancer:1.62e-4 (favourable)	Expressed in all	Mixed			skin: 22.5	Mixed		
AFDN	AF-6, AF6, MLLT4	ENSG00000130396	Afadin, adherens junction formation factor	6	167826922-167972023	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	CAB013496, HPA030212, HPA030213, HPA030214, HPA030215, HPA049868	Approved		Enhanced	Nucleoplasm<br>Plasma membrane<br>Cell Junctions	Breast cancer:7.43e-5 (unfavourable)	Expressed in all	Expressed in all			esophagus: 110.7	Mixed		
AFF1	AF-4, AF4, MLLT2, PBM1	ENSG00000172493	AF4/FMR2 family member 1	4	86935002-87141054	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA069947			Approved	Nucleoplasm<br>Mitochondria		Expressed in all	Expressed in all			thyroid gland: 91.6	Expressed in all		
AFF3	LAF4, MLLT2-like	ENSG00000144218	AF4/FMR2 family member 3	2	99545419-100142739	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA044512, HPA053379	Approved		Supported	Nucleoplasm<br>Cytosol	Renal cancer:5.64e-4 (unfavourable)	Tissue enhanced	Mixed			prostate: 29.7	Cell line enhanced		Daudi: 35.6;U-698: 50.7
AFF4	AF5Q31, MCEF	ENSG00000072364	AF4/FMR2 family member 4	5	132875379-132963634	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA023690, HPA029634	Approved		Supported	Nucleus<br>Nucleoli fibrillar center	Thyroid cancer:6.44e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 74.2	Expressed in all		
AKAP9	AKAP350, AKAP450, CG-NAP, HYPERION, KIAA0803, LQT11, MU-RMS-40.16A, PPP1R45, PRKA9, YOTIAO	ENSG00000127914	A-kinase anchoring protein 9	7	91940867-92110673	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA008548, CAB012909, HPA026109	Enhanced		Enhanced	Golgi apparatus<br>Vesicles<br>Centrosome	Renal cancer:2.10e-6 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 37.8	Expressed in all		
AKT1	AKT, PKB, PRKBA, RAC	ENSG00000142208	AKT serine/threonine kinase 1	14	104769349-104795751	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	HPA002891, CAB003765	Enhanced		Supported	Nucleus<br>Microtubules	Renal cancer:2.12e-4 (favourable), Ovarian cancer:4.83e-4 (favourable)	Expressed in all	Expressed in all			prostate: 106.4	Expressed in all		
