coordinates	refseqid	gene	circn	hallm	biom_desc	run_hal01_test1a	run_697_r_test1a	run_hal01_r_test1a	run_hal01_r_test1c	run_hal01_test1c	run_hal01_test1d	run_hal01_test1b	run_697_r_test1c	run_hal01_r_test1b	run_697_test1c	run_697_r_test1b	run_697_test1e	run_697_r_test1d	run_hal01_r_test1d	run_697_test1a	run_697_test1d	
chr10:102683731-102685776	NM_001136123	SLF2	hsa_circ_0006654	none	SMC5-SMC6_complex_localization_factor_2_	5	7	7	7	5	5	5	7	7	3	7	3	7	7	3	3
chr10:102683734-102685776	NM_001136123	SLF2	unknown	none	SMC5-SMC6_complex_localization_factor_2_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:102697158-102703885	NM_001136123	SLF2	hsa_circ_0006409	none	SMC5-SMC6_complex_localization_factor_2_	0	5	4	4	0	0	0	5	4	0	5	0	5	4	0	0
chr10:102697158-102710510	NM_001136123	SLF2	hsa_circ_0002045	none	SMC5-SMC6_complex_localization_factor_2_	0	2	6	6	0	0	0	2	6	0	2	0	2	6	0	0
chr10:102777855-102778974	NM_001195263	PDZD7	unknown	none	PDZ_domain_containing_7_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:103221737-103239214	NM_001256856	BTRC	hsa_circ_0019566	_HEME_METABOLISM	beta-transducin_repeat_containing_E3_ubiquitin_protein_ligase_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:103345072-103345235	NM_001174084	POLL	unknown	_DNA_REPAIR	DNA_polymerase_lambda_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:103384501-103436193	NM_022039	FBXW4	hsa_circ_0005741	_DNA_REPAIR	F-box_and_WD_repeat_domain_containing_4_	0	9	10	10	0	0	0	9	10	0	9	0	9	10	0	0
chr10:103427642-103436193	NM_022039	FBXW4	hsa_circ_0008362	_DNA_REPAIR	F-box_and_WD_repeat_domain_containing_4_	7	30	31	31	7	7	7	30	31	0	30	0	30	31	0	0
chr10:103432671-103436193	NM_022039	FBXW4	hsa_circ_0000255	_DNA_REPAIR	F-box_and_WD_repeat_domain_containing_4_	0	9	17	17	0	0	0	9	17	0	9	0	9	17	0	0
chr10:103552595-103567658	NM_001142434	MGEA5	hsa_circ_0019606	_DNA_REPAIR	F-box_and_WD_repeat_domain_containing_4_	7	3	3	3	7	7	7	3	3	0	3	0	3	3	0	0
chr10:103552595-103570071	NM_001142434	MGEA5	hsa_circ_0019607	_DNA_REPAIR	F-box_and_WD_repeat_domain_containing_4_	7	4	3	3	7	7	7	4	3	3	4	3	4	3	3	3
chr10:103557736-103567658	NM_001142434	MGEA5	hsa_circ_0019608	_DNA_REPAIR	F-box_and_WD_repeat_domain_containing_4_	0	2	7	7	0	0	0	2	7	0	2	0	2	7	0	0
chr10:103558598-103567658	NM_001142434	MGEA5	hsa_circ_0019612	_DNA_REPAIR	F-box_and_WD_repeat_domain_containing_4_	2	3	0	0	2	2	2	3	0	0	3	0	3	0	0	0
chr10:103649168-103699695	NM_024541	C10orf76	hsa_circ_0019627	_DNA_REPAIR	NaN	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:103649168-103717489	NM_024541	C10orf76	hsa_circ_0007564	_DNA_REPAIR	NaN	0	2	6	6	0	0	0	2	6	0	2	0	2	6	0	0
chr10:103699619-103717489	NM_024541	C10orf76	hsa_circ_0004117	_DNA_REPAIR	NaN	0	7	8	8	0	0	0	7	8	3	7	3	7	8	3	3
chr10:103750307-103766390	NM_024541	C10orf76	unknown	_DNA_REPAIR	NaN	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
